Model,Link
Samsung Galaxy M52 5G 128/8 GB,https://torob.com/p/093bbbce-af7b-4249-be0b-82489a42e25c/%DA%AF%D9%88%D8%B4%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-m52-5g-%D8%AD%D8%A7%D9%81%D8%B8%D9%87-128-%D8%B1%D9%85-8-%DA%AF%DB%8C%DA%AF%D8%A7%D8%A8%D8%A7%DB%8C%D8%AA/
Samsung Galaxy A03 Core 32/2 GB,https://torob.com/p/24c7f526-9755-4344-9e95-7bad9fce88bd/%DA%AF%D9%88%D8%B4%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-a03-core-%D8%AD%D8%A7%D9%81%D8%B8%D9%87-32-%D8%B1%D9%85-2-%DA%AF%DB%8C%DA%AF%D8%A7%D8%A8%D8%A7%DB%8C%D8%AA/
Samsung Galaxy S21 FE 5G 256 GB,https://torob.com/p/1d271685-1c53-48f8-a419-ebc9f33cfe00/%DA%AF%D9%88%D8%B4%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-s21-fe-5g-%D8%AD%D8%A7%D9%81%D8%B8%D9%87-256-%D8%B1%D9%85-8-%DA%AF%DB%8C%DA%AF%D8%A7%D8%A8%D8%A7%DB%8C%D8%AA/
Samsung Galaxy S21 FE 5G 128 GB,https://torob.com/p/80585ad0-9765-440a-879f-a0b2a284d295/%DA%AF%D9%88%D8%B4%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-s21-fe-5g-%D8%AD%D8%A7%D9%81%D8%B8%D9%87-128-%D8%B1%D9%85-8-%DA%AF%DB%8C%DA%AF%D8%A7%D8%A8%D8%A7%DB%8C%D8%AA/
Samsung Galaxy S22 Ultra 5G 128/8 GB,https://torob.com/p/0a7b1ae8-eee6-492d-ab35-609f5f38cfc0/%DA%AF%D9%88%D8%B4%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-s22-ultra-5g-%D8%AD%D8%A7%D9%81%D8%B8%D9%87-128-%D8%B1%D9%85-8-%DA%AF%DB%8C%DA%AF%D8%A7%D8%A8%D8%A7%DB%8C%D8%AA/
Samsung Galaxy S22 Ultra 5G 256/12 GB,https://torob.com/p/d6370082-830a-4293-aea7-c9179acf51fe/%DA%AF%D9%88%D8%B4%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-s22-ultra-5g-%D8%AD%D8%A7%D9%81%D8%B8%D9%87-256-%D8%B1%D9%85-12-%DA%AF%DB%8C%DA%AF%D8%A7%D8%A8%D8%A7%DB%8C%D8%AA/
Samsung Galaxy S22 Ultra 5G 512/12 GB,https://torob.com/p/7262ea66-5a63-4680-b20e-3f770186508a/%DA%AF%D9%88%D8%B4%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-s22-ultra-5g-%D8%AD%D8%A7%D9%81%D8%B8%D9%87-512-%D8%B1%D9%85-12-%DA%AF%DB%8C%DA%AF%D8%A7%D8%A8%D8%A7%DB%8C%D8%AA/
Samsung Galaxy S22 Plus 5G 128 GB,https://torob.com/p/eb9e3191-2ca2-4149-b8bd-92a986f0a1d8/%DA%AF%D9%88%D8%B4%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-s22-plus-5g-%D8%AD%D8%A7%D9%81%D8%B8%D9%87-128-%D8%B1%D9%85-8-%DA%AF%DB%8C%DA%AF%D8%A7%D8%A8%D8%A7%DB%8C%D8%AA/
Samsung Galaxy S22 Plus 5G 256 GB,https://torob.com/p/3112cfc8-14d0-4353-8273-f3aad800e096/%DA%AF%D9%88%D8%B4%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-s22-plus-5g-%D8%AD%D8%A7%D9%81%D8%B8%D9%87-256-%D8%B1%D9%85-8-%DA%AF%DB%8C%DA%AF%D8%A7%D8%A8%D8%A7%DB%8C%D8%AA/
Samsung Galaxy S22 5G 128/8 GB,https://torob.com/p/2130f230-f13e-4be3-bc1d-01277889ec62/%DA%AF%D9%88%D8%B4%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-s22-5g-%D8%AD%D8%A7%D9%81%D8%B8%D9%87-128-%D8%B1%D9%85-8-%DA%AF%DB%8C%DA%AF%D8%A7%D8%A8%D8%A7%DB%8C%D8%AA/
